vid_id,language,duration_bucket,content_type,strategy,strategy_description,video_duration_sec,scene_count,adaptive_scene_count,scene_reduction_vs_adaptive_pct,coverage_15s_pct
ru_medium_screencast,ru,medium,screencast,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,517.54,9,51,82.35,51.01
ru_medium_screencast,ru,medium,screencast,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,517.54,18,51,64.71,99.90
ru_medium_practical_demo,ru,medium,practical_demo,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,443.88,49,49,0.00,99.80
ru_medium_practical_demo,ru,medium,practical_demo,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,443.88,10,49,79.59,63.53
ru_medium_practical_demo,ru,medium,practical_demo,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,443.88,20,49,59.18,96.42
ru_medium_practical_demo,ru,medium,practical_demo,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,443.88,30,49,38.78,99.58
ru_medium_practical_demo,ru,medium,practical_demo,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,443.88,8,49,83.67,52.49
ru_medium_practical_demo,ru,medium,practical_demo,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,443.88,15,49,69.39,98.22
ru_long_talking_head,ru,long,talking_head,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,913.63,37,37,0.00,73.66
ru_long_talking_head,ru,long,talking_head,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,913.63,10,37,72.97,30.10
ru_long_talking_head,ru,long,talking_head,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,913.63,20,37,45.95,58.01
ru_long_talking_head,ru,long,talking_head,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,913.63,30,37,18.92,66.77
ru_long_talking_head,ru,long,talking_head,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,913.63,16,37,56.76,52.32
ru_long_talking_head,ru,long,talking_head,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,913.63,31,37,16.22,99.93
ru_long_slide-centric,ru,long,slide-centric,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,831.50,59,59,0.00,99.58
ru_long_slide-centric,ru,long,slide-centric,static_cap_10,Post-hoc cap: evenly subsample at most 10 scenes from adaptive index.,831.50,10,59,83.05,33.07
ru_long_slide-centric,ru,long,slide-centric,static_cap_20,Post-hoc cap: evenly subsample at most 20 scenes from adaptive index.,831.50,20,59,66.10,67.59
ru_long_slide-centric,ru,long,slide-centric,static_cap_30,Post-hoc cap: evenly subsample at most 30 scenes from adaptive index.,831.50,30,59,49.15,89.84
ru_long_slide-centric,ru,long,slide-centric,uniform_60s,Synthetic time-grid baseline with one anchor every 60 seconds.,831.50,14,59,76.27,50.39
ru_long_slide-centric,ru,long,slide-centric,uniform_30s,Synthetic time-grid baseline with one anchor every 30 seconds.,831.50,28,59,52.54,99.34
ru_long_screencast,ru,long,screencast,adaptive_actual,Saved adaptive scene index used by the manuscript evidence run.,969.82,119,119,0.00,99.92
